LGA,state,lga_pop_est,total_facilities,primary_count,phc_per_10k,facility_density_inv,health_fragility_score,displacement_score,child_displacement_score,pregnant_women
Faskari,Katsina,458115.0,60,60,1.31,94.0,75.1,18.5,21.2,349
Safana,Katsina,385335.0,57,57,1.48,93.3,74.6,15.5,14.6,566
Matazu,Katsina,213342.0,58,58,2.72,87.6,70.9,8.6,8.3,292
Kafur,Katsina,235895.0,81,81,3.43,84.4,68.9,9.5,9.4,49
Sandamu,Katsina,126765.0,49,48,3.79,82.8,67.8,5.1,5.9,89
Kaita,Katsina,133244.0,57,57,4.28,80.5,66.3,5.4,3.7,149
Zango,Katsina,87896.0,42,42,4.78,78.3,64.9,3.5,3.9,117
Batsari,Katsina,2478682.0,89,88,0.36,98.4,64.0,100.0,100.0,1833
Bakori,Katsina,199585.0,104,104,5.21,76.3,63.6,8.1,6.5,212
Dan Musa,Katsina,682893.0,58,56,0.82,96.3,62.6,27.6,29.0,529
Dutsin-Ma,Katsina,713685.0,64,62,0.87,96.0,62.4,28.8,30.3,377
Katsina,Katsina,678734.0,86,75,1.1,95.0,61.8,27.4,26.2,865
Kankara,Katsina,697689.0,105,104,1.49,93.2,60.6,28.1,23.0,176
Funtua,Katsina,396172.0,71,63,1.59,92.8,60.3,16.0,6.5,157
Jibia,Katsina,354343.0,60,58,1.64,92.5,60.1,14.3,13.3,203
Kurfi,Katsina,260369.0,59,57,2.19,90.0,58.5,10.5,10.3,284
Batagarawa,Katsina,365900.0,87,84,2.3,89.5,58.2,14.8,13.5,167
Musawa,Katsina,346505.0,80,79,2.28,89.6,58.2,14.0,12.1,216
Kankia,Katsina,248212.0,68,67,2.7,87.7,57.0,10.0,9.2,156
Baure,Katsina,180990.0,64,62,3.43,84.4,54.9,7.3,4.3,110
Malumfashi,Katsina,216661.0,82,79,3.65,83.4,54.2,8.7,5.8,275
Bindawa,Katsina,85337.0,77,77,9.02,59.0,52.4,3.4,3.4,32
Danja,Katsina,69101.0,63,63,9.12,58.5,52.0,2.8,1.8,46
Charanchi,Katsina,167034.0,80,78,4.67,78.8,51.2,6.7,4.9,88
Mani,Katsina,72540.0,69,69,9.51,56.8,50.9,2.9,1.6,28
Daura,Katsina,69541.0,39,38,5.46,75.2,48.9,2.8,3.3,50
Dandume,Katsina,111410.0,65,64,5.74,73.9,48.0,4.5,4.0,135
Dutsi,Katsina,49586.0,53,53,10.69,51.4,47.4,2.0,1.3,36
Kusada,Katsina,43388.0,49,49,11.29,48.7,45.7,1.8,1.6,20
Mashi,Katsina,49826.0,64,64,12.84,41.6,41.0,2.0,1.1,23
Rimi,Katsina,84457.0,70,69,8.17,62.8,40.8,3.4,3.0,137
Mai'Adua,Katsina,43388.0,66,66,15.21,30.8,34.0,1.8,1.5,76
Ingawa,Katsina,37310.0,65,64,17.15,22.0,14.3,1.5,1.6,31
Sabuwa,Katsina,24553.0,54,54,21.99,0.0,14.0,1.0,0.9,15
