LGA,total_displaced_individuals,total_displaced_hh,children_under5,children_under5_f,infants,infants_f,pregnant_women,num_sites,children_under5_total,infants_total,state
Bakori,4991,674,321,327,143,150,212,18,648,293,Katsina
Batagarawa,9150,1308,535,818,193,291,167,25,1353,484,Katsina
Batsari,61984,9140,4932,5058,2879,3137,1833,28,9990,6016,Katsina
Baure,4526,634,191,241,144,180,110,17,432,324,Katsina
Bindawa,2134,296,114,229,68,118,32,9,343,186,Katsina
Charanchi,4177,629,220,272,149,180,88,12,492,329,Katsina
Dan Musa,17077,2707,1306,1588,385,465,529,18,2894,850,Katsina
Dandume,2786,398,177,226,125,158,135,9,403,283,Katsina
Danja,1728,223,78,106,41,58,46,10,184,99,Katsina
Daura,1739,220,139,189,70,104,50,14,328,174,Katsina
Dutsi,1240,185,53,73,32,46,36,5,126,78,Katsina
Dutsin-Ma,17847,2448,1367,1660,400,487,377,14,3027,887,Katsina
Faskari,11456,1456,1059,1055,285,324,349,14,2114,609,Katsina
Funtua,9907,1334,265,383,142,217,157,17,648,359,Katsina
Ingawa,933,138,71,87,43,50,31,4,158,93,Katsina
Jibia,8861,1265,525,805,175,267,203,12,1330,442,Katsina
Kafur,5899,764,363,578,206,324,49,9,941,530,Katsina
Kaita,3332,440,167,202,73,95,149,18,369,168,Katsina
Kankara,17447,2522,1098,1203,886,1004,176,21,2301,1890,Katsina
Kankia,6207,794,421,498,224,275,156,16,919,499,Katsina
Katsina,16973,2361,1125,1491,607,829,865,30,2616,1436,Katsina
Kurfi,6511,918,461,570,345,483,284,18,1031,828,Katsina
Kusada,1085,178,67,90,43,54,20,6,157,97,Katsina
Mai'Adua,1085,169,69,85,47,61,76,10,154,108,Katsina
Malumfashi,5418,738,255,322,120,152,275,14,577,272,Katsina
Mani,1814,257,66,97,19,32,28,14,163,51,Katsina
Mashi,1246,178,44,69,21,25,23,11,113,46,Katsina
Matazu,5335,719,364,461,260,353,292,11,825,613,Katsina
Musawa,8665,1154,496,717,143,204,216,20,1213,347,Katsina
Rimi,2112,264,142,161,34,41,137,9,303,75,Katsina
Sabuwa,614,85,35,51,9,15,15,2,86,24,Katsina
Safana,9636,1335,694,766,553,623,566,19,1460,1176,Katsina
Sandamu,3170,412,257,331,146,162,89,17,588,308,Katsina
Zango,2198,314,174,213,42,58,117,10,387,100,Katsina
