lga,lat,lon,status,t2m_max_mean,t2m_max_peak,t2m_min_mean,precip_mean,rh2m_mean,ws2m_mean,extreme_heat_freq,flood_risk,drought_index,desertification
Bakori,11.58,7.43,interpolated,38.61333333333334,41.82,13.446666666666667,2.5633333333333335,51.03333333333333,2.3033333333333332,68.2,83.8,19.0,16.3
Batagarawa,12.98,7.55,interpolated,39.87,43.6,14.69,2.09,41.4,2.61,86.0,66.3,28.6,26.1
Batsari,12.55,7.3,interpolated,39.78,43.47,14.300000000000002,2.3,44.51,1.9400000000000002,84.7,74.1,25.5,17.8
Baure,12.75,8.58,interpolated,40.46,43.870000000000005,14.656666666666666,1.71,38.263333333333335,2.5766666666666667,88.7,52.2,31.7,28.0
Bindawa,12.97,7.98,interpolated,40.04999999999999,43.46000000000001,14.65333333333333,1.7866666666666664,38.59666666666667,2.623333333333333,84.6,55.1,31.4,28.2
Charanchi,12.42,7.55,interpolated,39.78,43.47,14.300000000000002,2.3,44.51,1.9400000000000002,84.7,74.1,25.5,17.8
Dan Musa,13.15,7.68,interpolated,39.87,43.6,14.69,2.09,41.4,2.61,86.0,66.3,28.6,26.1
Dandume,11.78,7.57,interpolated,38.93666666666667,42.199999999999996,13.583333333333334,2.4266666666666667,49.336666666666666,2.1966666666666668,72.0,78.8,20.7,16.4
Danja,11.92,7.75,interpolated,39.660000000000004,42.96666666666666,13.546666666666667,2.1966666666666668,46.13333333333333,1.7899999999999998,79.7,70.2,23.9,16.7
Daura,13.03,8.32,ok,39.98,43.27,14.59,1.89,39.39,2.57,82.7,58.9,30.6,27.1
Dutsi,13.28,8.05,ok,40.19,43.84,14.78,1.58,37.01,2.73,88.4,47.4,33.0,30.4
Dutsin-Ma,12.45,7.5,ok,39.78,43.47,14.3,2.3,44.51,1.94,84.7,74.1,25.5,17.8
Faskari,11.78,7.3,ok,39.26,42.58,13.72,2.29,47.64,2.09,75.8,73.7,22.4,16.6
Funtua,11.53,7.32,ok,38.29,41.44,13.31,2.7,52.73,2.41,64.4,88.9,17.3,16.2
Ingawa,12.8,7.37,ok,39.87,43.6,14.69,2.09,41.4,2.61,86.0,66.3,28.6,26.1
Jibia,13.33,7.22,ok,40.35,43.88,14.75,1.67,38.38,2.67,88.8,50.7,31.6,28.8
Kafur,12.25,7.62,ok,39.78,43.47,14.3,2.3,44.51,1.94,84.7,74.1,25.5,17.8
Kaita,13.08,7.45,ok,39.87,43.6,14.69,2.09,41.4,2.61,86.0,66.3,28.6,26.1
Kankara,12.52,7.47,ok,39.78,43.47,14.3,2.3,44.51,1.94,84.7,74.1,25.5,17.8
Kankia,12.93,7.6,ok,39.87,43.6,14.69,2.09,41.4,2.61,86.0,66.3,28.6,26.1
Katsina,12.99,7.6,ok,39.87,43.6,14.69,2.09,41.4,2.61,86.0,66.3,28.6,26.1
Kurfi,12.7,7.47,ok,39.78,43.47,14.3,2.3,44.51,1.94,84.7,74.1,25.5,17.8
Kusada,12.35,7.8,ok,39.78,43.47,14.3,2.3,44.51,1.94,84.7,74.1,25.5,17.8
Mai'Adua,13.18,8.52,ok,40.7,44.17,14.69,1.62,37.7,2.58,91.7,48.9,32.3,28.4
Malumfashi,11.8,7.62,ok,39.26,42.58,13.72,2.29,47.64,2.09,75.8,73.7,22.4,16.6
Mani,12.48,8.13,ok,40.07,43.3,14.02,2.05,42.58,1.56,83.0,64.8,27.4,19.2
Mashi,13.0,8.0,ok,39.98,43.27,14.59,1.89,39.39,2.57,82.7,58.9,30.6,27.1
Matazu,12.08,7.28,ok,39.26,42.58,13.72,2.29,47.64,2.09,75.8,73.7,22.4,16.6
Musawa,11.98,7.88,ok,39.86,43.16,13.46,2.15,45.38,1.64,81.6,68.5,24.6,17.2
Rimi,12.18,7.93,ok,39.86,43.16,13.46,2.15,45.38,1.64,81.6,68.5,24.6,17.2
Sabuwa,11.62,7.57,ok,38.29,41.44,13.31,2.7,52.73,2.41,64.4,88.9,17.3,16.2
Safana,12.05,7.17,ok,39.49,42.5,14.52,2.17,48.61,2.52,75.0,69.3,21.4,20.2
Sandamu,12.65,7.73,ok,39.78,43.47,14.3,2.3,44.51,1.94,84.7,74.1,25.5,17.8
Zango,12.85,8.73,ok,40.7,44.17,14.69,1.62,37.7,2.58,91.7,48.9,32.3,28.4
