lga,state,facility_density_inv,skilled_birth_inv,outbreak_history,under5_density,malnutrition_rate,oosc_rate,poverty_headcount,women_exclusion,displacement_score,total_facilities,phc_per_10k,total_displaced,pregnant_women,lga_pop_estimated,extreme_heat_freq,flood_risk,drought_index,desertification,t2m_max_peak,precip_mean,rh2m_mean,ws2m_mean,status
Faskari,Katsina,94.0,90.0,27.8,21.2,33.4,39.2,53.0,46.1,18.5,60,1.31,11456,349,458115,75.8,73.7,22.4,16.6,42.58,2.29,47.64,2.09,ok
Safana,Katsina,93.3,90.0,46.2,14.6,20.0,24.8,50.8,44.3,15.5,57,1.48,9636,566,385335,75.0,69.3,21.4,20.2,42.5,2.17,48.61,2.52,ok
Matazu,Katsina,87.6,90.0,42.8,8.3,20.0,29.9,46.0,40.2,8.6,58,2.72,5335,292,213342,75.8,73.7,22.4,16.6,42.58,2.29,47.64,2.09,ok
Kafur,Katsina,84.4,89.7,28.5,9.4,20.0,23.4,46.6,40.7,9.5,81,3.43,5899,49,235895,84.7,74.1,25.5,17.8,43.47,2.3,44.51,1.94,ok
Sandamu,Katsina,82.8,88.6,21.7,5.9,20.0,26.2,43.6,38.1,5.1,49,3.79,3170,89,126765,84.7,74.1,25.5,17.8,43.47,2.3,44.51,1.94,ok
Kaita,Katsina,80.5,87.2,29.2,3.7,21.7,24.6,43.8,38.2,5.4,57,4.28,3332,149,133244,86.0,66.3,28.6,26.1,43.6,2.09,41.4,2.61,ok
Zango,Katsina,78.3,85.7,61.4,3.9,20.0,15.1,42.4,37.1,3.5,42,4.78,2198,117,87896,91.7,48.9,32.3,28.4,44.17,1.62,37.7,2.58,ok
Batsari,Katsina,98.4,90.0,56.5,100.0,90.0,77.5,95.0,90.0,100.0,89,0.36,61984,1833,2478682,84.7,74.1,25.5,17.8,43.47,2.3,44.51,1.94,interpolated
Bakori,Katsina,76.3,84.4,35.5,6.5,26.1,17.7,45.7,39.9,8.1,104,5.21,4991,212,199585,68.2,83.8,19.0,16.3,41.82,2.5633333333333335,51.03333333333333,2.3033333333333332,interpolated
Dan Musa,Katsina,96.3,90.0,55.7,29.0,40.0,48.9,59.3,51.6,27.6,58,0.82,17077,529,682893,86.0,66.3,28.6,26.1,43.6,2.09,41.4,2.61,interpolated
Dutsin-Ma,Katsina,96.0,90.0,21.3,30.3,32.1,45.6,60.2,52.3,28.8,64,0.87,17847,377,713685,84.7,74.1,25.5,17.8,43.47,2.3,44.51,1.94,ok
Katsina,Katsina,95.0,90.0,57.8,26.2,31.9,32.4,59.2,51.4,27.4,86,1.1,16973,865,678734,86.0,66.3,28.6,26.1,43.6,2.09,41.4,2.61,ok
Kankara,Katsina,93.2,90.0,64.6,23.0,40.3,38.3,59.7,51.9,28.1,105,1.49,17447,176,697689,84.7,74.1,25.5,17.8,43.47,2.3,44.51,1.94,ok
Funtua,Katsina,92.8,90.0,41.4,6.5,21.7,31.7,51.2,44.6,16.0,71,1.59,9907,157,396172,64.4,88.9,17.3,16.2,41.44,2.7,52.73,2.41,ok
Jibia,Katsina,92.5,90.0,26.0,13.3,27.9,27.3,50.0,43.6,14.3,60,1.64,8861,203,354343,88.8,50.7,31.6,28.8,43.88,1.67,38.38,2.67,ok
Kurfi,Katsina,90.0,90.0,68.6,10.3,20.0,26.1,47.4,41.3,10.5,59,2.19,6511,284,260369,84.7,74.1,25.5,17.8,43.47,2.3,44.51,1.94,ok
Batagarawa,Katsina,89.5,90.0,27.2,13.5,27.5,28.8,50.4,43.9,14.8,87,2.3,9150,167,365900,86.0,66.3,28.6,26.1,43.6,2.09,41.4,2.61,interpolated
Musawa,Katsina,89.6,90.0,56.4,12.1,31.7,17.2,49.8,43.4,14.0,80,2.28,8665,216,346505,81.6,68.5,24.6,17.2,43.16,2.15,45.38,1.64,ok
Kankia,Katsina,87.7,90.0,22.0,9.2,30.9,33.0,47.0,41.0,10.0,68,2.7,6207,156,248212,86.0,66.3,28.6,26.1,43.6,2.09,41.4,2.61,ok
Baure,Katsina,84.4,89.7,28.7,4.3,20.0,36.8,45.1,39.4,7.3,64,3.43,4526,110,180990,88.7,52.2,31.7,28.0,43.870000000000005,1.71,38.263333333333335,2.5766666666666667,interpolated
Malumfashi,Katsina,83.4,89.0,60.9,5.8,26.5,45.5,46.1,40.2,8.7,82,3.65,5418,275,216661,75.8,73.7,22.4,16.6,42.58,2.29,47.64,2.09,ok
Bindawa,Katsina,59.0,72.9,37.5,3.4,20.3,24.4,42.4,37.0,3.4,77,9.02,2134,32,85337,84.6,55.1,31.4,28.2,43.46000000000001,1.7866666666666664,38.59666666666667,2.623333333333333,interpolated
Danja,Katsina,58.5,72.6,28.1,1.8,20.0,28.5,42.0,36.7,2.8,63,9.12,1728,46,69101,79.7,70.2,23.9,16.7,42.96666666666666,2.1966666666666668,46.13333333333333,1.7899999999999998,interpolated
Charanchi,Katsina,78.8,86.0,31.2,4.9,20.0,30.3,44.7,39.0,6.7,80,4.67,4177,88,167034,84.7,74.1,25.5,17.8,43.47,2.3,44.51,1.94,interpolated
Mani,Katsina,56.8,71.5,52.9,1.6,20.0,22.9,42.0,36.7,2.9,69,9.51,1814,28,72540,83.0,64.8,27.4,19.2,43.3,2.05,42.58,1.56,ok
Daura,Katsina,75.2,83.6,51.6,3.3,20.0,33.3,42.0,36.7,2.8,39,5.46,1739,50,69541,82.7,58.9,30.6,27.1,43.27,1.89,39.39,2.57,ok
Dandume,Katsina,73.9,82.8,34.0,4.0,20.0,21.6,43.2,37.7,4.5,65,5.74,2786,135,111410,72.0,78.8,20.7,16.4,42.2,2.4266666666666667,49.336666666666666,2.1966666666666668,interpolated
Dutsi,Katsina,51.4,67.9,39.3,1.3,20.0,28.1,41.4,36.2,2.0,53,10.69,1240,36,49586,88.4,47.4,33.0,30.4,43.84,1.58,37.01,2.73,ok
Kusada,Katsina,48.7,66.1,48.5,1.6,20.0,15.0,41.3,36.1,1.8,49,11.29,1085,20,43388,84.7,74.1,25.5,17.8,43.47,2.3,44.51,1.94,ok
Mashi,Katsina,41.6,61.5,55.1,1.1,20.0,15.0,41.4,36.2,2.0,64,12.84,1246,23,49826,82.7,58.9,30.6,27.1,43.27,1.89,39.39,2.57,ok
Rimi,Katsina,62.8,75.5,59.9,3.0,24.1,29.9,42.4,37.0,3.4,70,8.17,2112,137,84457,81.6,68.5,24.6,17.2,43.16,2.15,45.38,1.64,ok
Mai'Adua,Katsina,30.8,54.4,24.7,1.5,20.0,21.7,41.3,36.1,1.8,66,15.21,1085,76,43388,91.7,48.9,32.3,28.4,44.17,1.62,37.7,2.58,ok
Ingawa,Katsina,22.0,48.6,21.5,1.6,20.0,18.2,41.0,35.9,1.5,65,17.15,933,31,37310,86.0,66.3,28.6,26.1,43.6,2.09,41.4,2.61,ok
Sabuwa,Katsina,0.0,34.0,24.3,0.9,20.0,15.4,40.7,35.6,1.0,54,21.99,614,15,24553,64.4,88.9,17.3,16.2,41.44,2.7,52.73,2.41,ok
